sku_id,category_id,period,qty_total
598294111,672241,2024-11-25,0.8134522676674486
598294111,672241,2024-12-02,0.8136453462990867
598294111,672241,2024-12-09,0.8137187121469909
598294111,672241,2024-12-16,0.31369827371290127
598294111,672241,2024-12-23,0.8137074303166363
598294111,672241,2024-12-30,1.3137322386532198
598294111,672241,2025-01-06,0.8137189163198829
598294111,672241,2025-01-13,2.31368695383604
598294111,672241,2025-01-20,3.3137188165443963
598294111,672241,2025-01-27,2.3137100043117025
598294111,672241,2025-02-03,1.8136837340945444
598294111,672241,2025-02-10,0.8137367342579725
598294111,672241,2025-02-17,0.8138103142434124
598294111,672241,2025-02-24,0.8138578057866176
598294111,672241,2025-03-03,0.8139301153009327
598302302,672241,2024-11-25,0.05746450917700002
598302302,672241,2024-12-02,0.05745585479883607
598302302,672241,2024-12-09,0.05744828669467165
598302302,672241,2024-12-16,0.05744271952011114
598302302,672241,2024-12-23,0.5575444583388883
598302302,672241,2024-12-30,0.05747854095675148
598302302,672241,2025-01-06,1.0575200835414358
598302302,672241,2025-01-13,0.05756518464983402
598302302,672241,2025-01-20,0.05761295205400483
598302302,672241,2025-01-27,0.05766454772249572
598302302,672241,2025-02-03,0.05771990656222931
598302302,672241,2025-02-10,1.0575688573471669
598302302,672241,2025-02-17,0.05776207489409335
598302302,672241,2025-02-24,0.05774911209860219
598302302,672241,2025-03-03,0.05774045068767417
599653937,672241,2024-11-25,10.457057627524927
599653937,672241,2024-12-02,1.5356786721365854
599653937,672241,2024-12-09,1.613619187973114
599653937,672241,2024-12-16,1.19041258130346
599653937,672241,2024-12-23,1.2662112304346191
599653937,672241,2024-12-30,1.340947323391497
599653937,672241,2025-01-06,2.4145796422851107
599653937,672241,2025-01-13,2.4873138813140954
599653937,672241,2025-01-20,2.0589630855562664
599653937,672241,2025-01-27,6.629808251515856
599653937,672241,2025-02-03,1.69906728815925
599653937,672241,2025-02-10,3.267550491586187
599653937,672241,2025-02-17,2.3351134754748433
599653937,672241,2025-02-24,2.9015557661067026
599653937,672241,2025-03-03,2.9670772234042855
599703217,672241,2024-11-25,4.365898468994488
599703217,672241,2024-12-02,6.365813097534922
599703217,672241,2024-12-09,3.865815672243941
599703217,672241,2024-12-16,2.865724147179304
599703217,672241,2024-12-23,1.865697257346579
599703217,672241,2024-12-30,5.365687968716218
599703217,672241,2025-01-06,2.3655926402727143
599703217,672241,2025-01-13,5.365595964175587
599703217,672241,2025-01-20,2.3654719109529836
599703217,672241,2025-01-27,2.365397803843664
599703217,672241,2025-02-03,1.865352164001405
599703217,672241,2025-02-10,1.3653179487474802
599703217,672241,2025-02-17,2.8652685024570643
